Domain Code,Domain,Area Code (M49),Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,region
BE,Bioenergy,903,Grenada,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Caribbean
BE,Bioenergy,904,Guatemala,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Central America
BE,Bioenergy,905,Guinea,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,906,Guinea-Bissau,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,907,Guyana,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,South America
BE,Bioenergy,908,Haiti,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Caribbean
BE,Bioenergy,909,Honduras,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Central America
BE,Bioenergy,910,Iran,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Middle East
BE,Bioenergy,911,Iraq,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Middle East
BE,Bioenergy,912,Israel,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Middle East
BE,Bioenergy,913,Jamaica,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Caribbean
BE,Bioenergy,914,Jordan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Middle East
BE,Bioenergy,916,Kenya,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Africa
BE,Bioenergy,917,Kiribati,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Oceania
BE,Bioenergy,918,Kuwait,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Middle East
BE,Bioenergy,919,Kyrgyzstan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Central Asia
BE,Bioenergy,920,Laos,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,0,X,Figure from external organization,Southeast Asia
